chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
1	128800001	128845000	1	128340001	128845000	505000	45000	5.074679530558224	99.0%	0.01	20.175214502965606
16	23980001	24015000	16	23980001	24755000	775000	35000	3.748035676988739	95.0%	0.002	19.325026548495746
14	54225001	54290000	14	54225001	54685000	460000	65000	6.366536498901954	95.0%	0.002	19.265738297989984
9	33065001	33125000	9	32375001	33125000	750000	60000	3.9111276285625887	95.0%	0.004	18.03021753156193
16	10555001	10595000	16	10555001	10875000	320000	40000	7.441211398102158	99.0%	0.003	15.867411394928324
6	71130001	71185000	6	71130001	71820000	690000	55000	4.2375026616725755	98.0%	0.003	15.662235337673172
1	166130001	166170000	1	165625001	166170000	545000	40000	4.514053115175497	99.0%	0.005	15.103874518186887
18	56355001	56390000	18	56355001	56650000	295000	35000	7.286987870588619	99.0%	0.002	14.891927626959085
1	182950001	182995000	1	182950001	183330000	380000	45000	4.907794104214734	95.0%	0.004	13.713152725626717
12	31955001	31990000	12	31955001	32250000	295000	35000	7.148282115357249	98.0%	0.003	12.785828278041901
10	21980001	22025000	10	21275001	22025000	750000	45000	3.3647277176400303	95.0%	0.042	12.699391100654944
7	128680001	128720000	7	128220001	128720000	500000	40000	5.181168959932161	99.0%	0.025500000000000002	12.66018859998502
8	35450001	35485000	8	34825001	35485000	660000	35000	4.250542773132844	99.0%	0.0495	12.270357323457299
3	40505001	40555000	3	40505001	40835000	330000	50000	5.5694845275115785	95.0%	0.004	11.755990246115633
7	67195001	67270000	7	67195001	67650000	455000	75000	4.970471993377173	95.0%	0.004	11.649478371476068
12	110400001	110455000	12	110400001	110900000	500000	55000	4.1904720054721105	96.0%	0.0035	10.893927347315277
1	157045001	157100000	1	156620001	157100000	480000	55000	4.778580292588739	97.0%	0.017	10.739101336695379
10	8175001	8260000	10	7800001	8260000	460000	85000	5.211770964171425	97.0%	0.007	10.518402466076267
4	144865001	144930000	4	144865001	145430000	565000	65000	4.676078348540455	95.0%	0.005	10.484492023375664
11	116440001	116480000	11	115945001	116480000	535000	40000	6.700202591847716	95.0%	0.001	10.37222566369958
4	10895001	10935000	4	10895001	11190000	295000	40000	7.445346143991862	99.0%	0.006	10.007956537947537
